구분,항목,문항수
유형,객관식,90
유형,주관식,40
난이도,상,52
난이도,중,39
난이도,하,39
장,1장,10
장,2장,7
장,3장,8
장,4장,8
장,5장,9
장,6장,8
장,7장,7
장,8장,13
장,9장,7
장,10장,6
장,11장,8
장,12장,11
장,13장,6
장,14장,7
장,15장,8
장,16장,7
