구분,항목,문항수
유형,객관식,90
유형,주관식,40
유형,빈칸형,20
난이도,상,60
난이도,중,45
난이도,하,45
장,1장,12
장,2장,8
장,3장,10
장,4장,9
장,5장,11
장,6장,9
장,7장,8
장,8장,16
장,9장,7
장,10장,8
장,11장,9
장,12장,13
장,13장,7
장,14장,8
장,15장,8
장,16장,7
